YEAR	DOY	HOUR	PAR	Swdown	TEMP	STEMP	RH	RAIN	WIND	PRESSURE	aCO2_AW	amb_co2	date	moy	dom
2003	1	0	0	0	10.44	7.85	98.9	0	3.37	101300	378.45	463.4200134	2003-01-01	1	1
2003	1	1	0	0	11.05	7.74	97.3	0	0.96	101300	378.45	468.7200012	2003-01-01	1	1
2003	1	2	0	0	10.79	7.64	99.3	0.1	0.84	101300	378.45	473.6700134	2003-01-01	1	1
2003	1	3	0	0	10.29	7.56	99.4	0	0.45	101300	378.45	478.3500061	2003-01-01	1	1
2003	1	4	0	0	9.8	7.51	99.5	0.7	0	101300	378.45	479.8200073	2003-01-01	1	1
2003	1	5	0	0	9.58	7.59	99.5	1.1	0.02	101300	378.45	482.3299866	2003-01-01	1	1
2003	1	6	0	0	9.55	7.61	99.5	0.3	0.79	101300	378.45	484.6300049	2003-01-01	1	1
2003	1	7	0	0	9.62	7.52	99.5	0	0.58	101300	378.45	462.5100098	2003-01-01	1	1
2003	1	8	0	0	9.27	7.46	99.5	0.1	0.4	101300	378.45	424.8699951	2003-01-01	1	1
2003	1	9	27	0	8.77	7.45	99.5	0	0	101300	378.45	399.2900085	2003-01-01	1	1
2003	1	10	53	19.32	8.81	7.53	99.5	0	0	101300	378.45	387.0400085	2003-01-01	1	1
2003	1	11	230	28.97	9.17	7.69	99.5	0.4	0.21	101300	378.45	379.1799927	2003-01-01	1	1
2003	1	12	337	163.1	10.32	8.19	99.6	0	0.82	101300	378.45	374.5700073	2003-01-01	1	1
2003	1	13	692	289.7	12.3	9.39	96.2	0	2.75	101300	378.45	371.75	2003-01-01	1	1
2003	1	14	546	342.1	13.68	10.24	84.8	0	3.59	101300	378.45	369.5499878	2003-01-01	1	1
2003	1	15	563	454.7	14.6	10.56	78.2	0	3.15	101300	378.45	367.769989	2003-01-01	1	1
2003	1	16	510	264.8	15.61	10.71	72.6	0	2.64	101300	378.45	368.8399963	2003-01-01	1	1
2003	1	17	133	333.9	16.78	11.05	63.99	0	3.04	101300	378.45	372.3500061	2003-01-01	1	1
2003	1	18	14	65.75	16.04	10.42	65.56	0	2.51	101300	378.45	382.25	2003-01-01	1	1
2003	1	19	0	16.34	15.44	9.9	68.64	0	1.59	101300	378.45	400.9700012	2003-01-01	1	1
2003	1	20	0	4.09	14.52	9.46	71.5	0	1.61	101300	378.45	421.0299988	2003-01-01	1	1
2003	1	21	0	10.03	13.94	9.41	75.4	0	1.72	101300	378.45	436.75	2003-01-01	1	1
2003	1	22	0	0.37	13.14	9.25	80.9	0	0.13	101300	378.45	447.1700134	2003-01-01	1	1
2003	1	23	0	7.06	12.28	9.15	86.8	0	0	101300	378.45	455.7000122	2003-01-01	1	1
2003	2	0	0	8.17	12.15	9.11	88.3	0	0.91	101300	378.45	463.4200134	2003-01-02	1	2
2003	2	1	0	0	11.92	9.21	90	0	2.22	101300	378.45	468.7200012	2003-01-02	1	2
2003	2	2	0	0	10.79	9.1	89.2	0	1.77	101300	378.45	473.6700134	2003-01-02	1	2
2003	2	3	0	0	9.97	8.89	87.9	0	1.67	101300	378.45	478.3500061	2003-01-02	1	2
2003	2	4	0	0	9.6	8.78	88.4	0	1.01	101300	378.45	479.8200073	2003-01-02	1	2
2003	2	5	0	0	9.29	8.71	90.2	0	0.79	101300	378.45	482.3299866	2003-01-02	1	2
2003	2	6	0	0	8.37	8.6	97.5	0.1	0.57	101300	378.45	484.6300049	2003-01-02	1	2
2003	2	7	0	0	7.97	8.49	99.5	0.3	0.65	101300	378.45	462.5100098	2003-01-02	1	2
2003	2	8	1	0	7.85	8.44	99.5	0.2	0.11	101300	378.45	424.8699951	2003-01-02	1	2
2003	2	9	33	0	7.93	8.42	99.5	0.1	0.39	101300	378.45	399.2900085	2003-01-02	1	2
2003	2	10	70	23.03	8.64	8.48	99.5	0	1.77	101300	378.45	387.0400085	2003-01-02	1	2
2003	2	11	131	54.97	9.1	8.69	95.9	0	2.16	101300	378.45	379.1799927	2003-01-02	1	2
2003	2	12	194	111.8	9.03	8.76	93.8	0	3.24	101300	378.45	374.5700073	2003-01-02	1	2
2003	2	13	272	122.2	9.15	8.83	89.4	0	2.97	101300	378.45	371.75	2003-01-02	1	2
2003	2	14	320	183.1	9.27	8.99	86.8	0	3.18	101300	378.45	369.5499878	2003-01-02	1	2
2003	2	15	138	156.8	9.65	9.03	81.5	0	3.23	101300	378.45	367.769989	2003-01-02	1	2
2003	2	16	140	87.7	9.81	8.84	78.9	0	2.48	101300	378.45	368.8399963	2003-01-02	1	2
2003	2	17	40	73.9	9.81	8.84	78.8	0	1.97	101300	378.45	372.3500061	2003-01-02	1	2
2003	2	18	0	24.89	9.42	8.69	82.7	0	0.43	101300	378.45	382.25	2003-01-02	1	2
2003	2	19	0	2.23	8.34	8.55	94.9	1.3	0	101300	378.45	400.9700012	2003-01-02	1	2
2003	2	20	0	0	7.85	8.43	99.4	0.9	0.86	101300	378.45	421.0299988	2003-01-02	1	2
2003	2	21	0	0	7.62	8.36	99.4	0.1	0.02	101300	378.45	436.75	2003-01-02	1	2
2003	2	22	0	0	7.52	8.3	99.5	1.5	0	101300	378.45	447.1700134	2003-01-02	1	2
2003	2	23	0	0	7.48	8.26	99.5	1	0	101300	378.45	455.7000122	2003-01-02	1	2
2003	3	0	0	0	7.32	8.21	99.5	0	0	101300	378.45	463.4200134	2003-01-03	1	3
