x_obs,y_obs,y_mod
190,12.982,-3.9596460177
369,-3.161,-8.2711290323
521.4,-15.457,-10.5848192771
572.7,-18.166,-11.1962393162
744.2,-22.671,-12.8333595425
774.5,-19.532,-13.0718225315
576.8,-18.777,-11.2422609792
384.3,-10.877,-8.5453496642
1074,-26.537,-14.8924223602
797.8,-19.701,-13.2468144611
776.1,-20.259,-13.0840656763
691.5,-22.005,-12.3863291139
657.7,-17.73,-12.0756037571
550.2,-13.799,-10.9364202335
287.5,-10.983,-6.5969811321
144.9,1.119,-2.405100981
147.1,-1.313,-2.4871633787
157,-1.456,-2.8480451128
95.03,-0.452,-0.3388217773
86.66,0.634,0.0517246458
66.31,1.06,1.0630559017
31.38,2.548,3.0351040898
12.89,3.513,4.2227610921
1.149,5.389,5.0375247043
-1.195,5.001,5.2063150573
-1.21,6.176,5.2074020172
-1.244,4.379,5.2098661159
-1.242,3.551,5.2097211565
-1.214,3.794,5.2076918879
-1.192,4.306,5.2060976758
-1.187,3.529,5.2057353811
-1.184,2.8,5.2055180089
-1.183,5.039,5.2054455522
-1.182,1.933,5.205373096
-1.181,5.444,5.2053006401
-1.18,7.217,5.2052281847
-1.181,8.294,5.2053006401
326.9,-8.006,-7.4548682148
561.3,-8.977,-11.0661582826
654.8,-12.842,-12.0479937852
616.3,-24.531,-11.6661394129
579,-13.771,-11.2667924528
941.6,-17.394,-14.1897372019
1213,-27.471,-15.5040554156
788.8,-11.324,-13.1800515553
498.7,-12.612,-10.2913540117
621.8,-16.748,-11.7224959872
1156,-21.434,-15.2666753756
791,-9.791,-13.1964665523
659.8,-10.239,-12.0955005798
621.2,-7.289,-11.7163782373
517.3,-3.656,-10.5329194217
385.1,-3.712,-8.5593842915
264,-2.28,-6.0349295775
156.3,-0.444,-2.8229700734
57.57,2.899,1.5266162702
-1.2,5.099,5.2066773676
-1.198,5.03,5.2065324423
-1.19,4.942,5.2059527567
-1.189,5.04,5.2058802978
-1.192,3.967,5.2060976758
-1.203,3.518,5.2068947584
-1.214,4.588,5.2076918879
-1.18,5.033,5.2052281847
-1.181,3.131,5.2053006401
-1.181,2.848,5.2053006401
-1.18,2.634,5.2052281847
-1.18,3.46,5.2052281847
-1.18,3.759,5.2052281847
-1.18,2.826,5.2052281847
-1.18,4.249,5.2052281847
-1.18,3.545,5.2052281847
-1.18,2.83,5.2052281847
-1.18,3.608,5.2052281847
0.189,3.096,5.106398855
18.55,1.784,3.8473535764
67.87,0.624,0.9822394834
152.3,-2.656,-2.6784069789
259.3,-6.345,-5.9175216774
418.3,-8.871,-9.1168586915
476.1,-9.378,-9.9836305957
338.4,-12.751,-7.6874011775
305.8,-8.959,-7.0077908343
370.7,-10.019,-8.3021536811
391.5,-10.342,-8.6706066536
338.4,-12.114,-7.6874011775
476.3,-13.716,-9.9864254669
606.4,-19.484,-11.5631057673
534.1,-15.155,-10.7426113739
653.8,-19.828,-12.038437014
582.8,-21.997,-11.3088995615
458.6,-12.933,-9.7338867562
392.6,-12.864,-8.6895362168
360.4,-6.719,-8.1119825945
322.2,-4.806,-7.3576247849
300.9,-6.805,-6.8999733688
357.9,-7.775,-8.06501842
350.1,-8.995,-7.9164087712
240.8,-5.347,-5.437973368
143.9,-1.094,-2.3675698593
477.8,-12.987,-10.0073452158
405.6,-12.019,-8.9092083013
682.7,-16.024,-12.3073423466
661.8,-14.059,-12.114375
753,-15.384,-12.9039361702
764.9,-22.583,-12.9976418984
762.3,-20.801,-12.9773357953
881.8,-22.456,-13.8238255888
737.4,-13.929,-12.7780582524
1014,-12.936,-14.5905831533
1013,-10.482,-14.5853314121
931,-9.321,-14.1273200613
839.2,-10.464,-13.541176083
720.5,-12.549,-12.637644911
540.9,-6.937,-10.8252997052
433.6,-7.186,-9.3583576552
269,-4.371,-6.1579503106
136.6,-1.713,-2.0891477717
45.77,0.512,2.1830273071
5.247,4.13,4.7474290132
-1.18,6.241,5.2052281847
-1.18,4.817,5.2052281847
818.2,-18.016,-13.3944150184
633.1,-18.943,-11.8363535364
538.5,-8.759,-10.7962561576
1047,-14.219,-14.7597468354
1084,-14.216,-14.9403152844
1133,-10.934,-15.1658090186
1179,-14.3,-15.3645559846
1142,-14.86,-15.2056427159
852.3,-15.441,-13.6301833293
790.8,-16.445,-13.1949768399
604.4,-13.138,-11.5420379824
587.1,-13.005,-11.3561459308
653.8,-14.224,-12.038437014
766.9,-11.48,-13.0131990542
655.6,-9.411,-12.055625849
506.1,-5.846,-10.3886823289
329.2,-3.61,-7.5019823914
306.3,-6.079,-7.0187054161
131.8,-0.834,-1.9017048145
-1.181,10.921,5.2053006401
-1.182,7.676,5.205373096
-1.181,6.652,5.2053006401
-1.181,7.056,5.2053006401
-1.181,6.567,5.2053006401
-1.182,7.571,5.205373096
-1.18,6.406,5.2052281847
-1.18,5.01,5.2052281847
-1.18,6.2,5.2052281847
-1.18,4.655,5.2052281847
-1.18,4.046,5.2052281847
-1.18,1.879,5.2052281847
-1.18,3.397,5.2052281847
-1.18,3.256,5.2052281847
-1.18,5.688,5.2052281847
-1.18,3.838,5.2052281847
-1.18,1.482,5.2052281847
-1.18,5.1,5.2052281847
-1.18,3.499,5.2052281847
-1.002,4.126,5.1923372852
6.228,3.842,4.6789096289
24.38,4.571,3.4717952827
112.9,0.98,-1.1277966796
325.6,-6.745,-7.4281016272
244.5,-5.971,-5.5361743341
268.5,-6.968,-6.1457342657
229.2,-7.361,-5.1223038729
510.1,-15.722,-10.4406146198
186,-4.566,-3.8318716578
121.2,-1.017,-1.4749214027
95.09,1.965,-0.3415711885
203.3,0.868,-4.3717862701
232.7,-4.404,-5.218818496
262.2,-6.342,-5.9901694915
725.8,-17.237,-12.6821438953
540.9,-13.765,-10.8252997052
541.9,-13.337,-10.8373563093
524.6,-11.634,-10.6249977768
800.5,-11.531,-13.2666439813
633.1,-11.574,-11.8363535364
423.1,-8.379,-9.1936198471
229.3,-3.707,-5.1250769485
211.1,-3.211,-4.6047909913
179.2,-3.131,-3.6104222302
73.37,2.426,0.7017962843
52.79,5.085,1.7881549358
4.653,7.301,4.7890899321
-1.184,7.649,5.2055180089
-1.186,5.952,5.2056629233
-1.185,6.563,5.2055904659
-1.182,4.835,5.205373096
-1.183,5.052,5.2054455522
-1.183,5.483,5.2054455522
-1.183,5.112,5.2054455522
-1.182,5.401,5.205373096
-1.181,6.473,5.2053006401
-1.181,7.608,5.2053006401
-1.181,6.068,5.2053006401
-1.18,5.465,5.2052281847
-1.18,5.959,5.2052281847
-1.18,6.157,5.2052281847
-1.18,6.283,5.2052281847
-1.18,5.022,5.2052281847
-1.18,4.863,5.2052281847
-1.18,5.524,5.2052281847
-1.18,5.89,5.2052281847
-1.18,5.852,5.2052281847
-0.98,2.461,5.19074488
5.876,5.577,4.7034549827
38.17,3.492,2.6256514268
111.7,0.407,-1.0766303678
278.2,-6.089,-6.3793876301
244,-3.236,-5.5229725363
331.6,0.031,-7.5508180017
292.2,-7.71,-6.7046402878
358.6,-10.681,-8.0782006543
276,-6.303,-6.3270046083
304.6,-7.994,-6.9815303119
478,-13.518,-10.0101289566
380.2,-13.243,-8.4729555085
286.3,-8.112,-6.56924845
414.1,-11.131,-9.0489266253
434.6,-11.125,-9.3738241107
341.1,-5.127,-7.7409132803
269.8,-7.814,-6.1774565757
560.4,-11.223,-11.0557536883
749.7,-19.167,-12.8775993598
621.3,-15.249,-11.717398374
432.2,-10.152,-9.3366402379
376.5,-9.946,-8.4069461078
243.7,-6.34,-5.5150412155
111.3,0.303,-1.0595188155
75.42,-0.009,0.5990195817
28.12,3.505,3.2365905934
2.139,7.109,4.9668654793
-1.177,5.889,5.2050108206
